V1,V2
10.31787093,-24.53969555
5.970451561,-11.59945352
5.546809383,-21.89722345
15.62746009,-17.49236972
10.53701919,-19.4364025
23.04086472,-21.6675466
10.51588556,-10.767042
11.54258459,-4.292635611
13.28293618,-28.67257203
15.74881079,-9.366755417
24.74720576,-16.53047418
1.036667112,-13.95968214
-9.362497565,-15.72102382
6.41502862,-6.170777321
0.717059675,-19.42891718
4.565399709,-34.65990425
-1.09581808,-24.63236428
-4.382108994,-13.59696184
-4.904831609,-20.10627167
5.893117019,-16.49119263
-2.719939772,-29.82542203
-9.814815618,-9.787406003
12.85045451,1.025680822
-10.26542228,-21.06241894
-14.12193384,-13.14581556
7.434224846,0.387148375
10.8290154,-14.11588188
-14.25230893,-24.8144924
8.160801001,-30.57439902
17.66765913,-22.54628025
